기준월,업소수
2015-12-01,66889
2016-06-01,60707
2016-12-01,72096
2017-03-01,66873
2017-04-01,68196
2017-05-01,69732
2017-06-01,77715
2017-07-01,72698
2017-08-01,74208
2017-09-01,76651
2017-10-01,79296
2017-11-01,80738
2017-12-01,76923
2018-01-01,77942
2018-02-01,84967
2018-03-01,80719
2018-04-01,80719
2018-05-01,87156
2018-06-01,81248
2018-07-01,82191
2018-08-01,82858
2018-09-01,88742
2018-10-01,89050
2018-11-01,89661
2018-12-01,95650
2019-01-01,96352
2019-02-01,97009
2019-03-01,97415
2019-04-01,97421
2019-05-01,97740
2019-06-01,98217
2019-07-01,98311
2019-08-01,98538
2019-09-01,98779
