"저작물코드우수저작물 저작물명","우수저작물 저작물명","우수저작물 본문내용","우수저작물 저작물적용일","우수저작물 저작물 분류코드","저작물분류명","우수저작물 저작물 형태명","우수저작물 저작물 형태코드","우수저작물 저작물URL","썸네일파일경로","우수저작물 공개여부","우수저작물 조회수","우수저작물 키워드명","게시판코드","우수저작물 게시판명"
"92629","소통과 협력의 산물! ddp패션몰 바이어라운지가 열렸어요~♪","공공과 민간이 보유한 정보와 인프라를 함께 공유함으로써, 새로운 가치를 창출할 수 있는 공간으로서 활약하고 있는 공공기관이 운영하는 최초의 도매상가 ddp패션몰! 지난 4월 25일 봄, 공단과 중구, 그리고 동대문글로벌명품시장육성사업단 간 바이어라운지 업무협약식이 진행되었고, 딱 6개월의 시간이 흘러흘러~ 10월 23일, 가을! ddp 패션몰 바이어라운지 준공식이 열리게 되었습니다. 그렇다면! 새롭게 조성된 바이어라운지엔 어떤 혜택이 있는지 한번 살펴볼까요~? 먼저, 쇼룸을 살펴보시죠! 실내 인테리어와 특화브랜드 우수 패션상품의 콜라보! 그 자체로도 우수한 상품들이지만, 실내 인테리어와 어울려 더욱 고풍스러운 느낌을 받았습니다 마치 백화점에 왔다는 생각마저 들지만 이곳은 도매상가란 사실! 두번째, 해외 바이어의 패션 상품 구매를 위한 원스톱 시스템을 운영하고 물품보관, 무역업무 지원 등 바이어를 지원합니다! 회의, 업무 협약 등을 할 수 있는 공간은 물론, 잠깐의 휴식이 필요할 때, 쉼터의 역할도 하는 그야말로 최적화된 공간! 이날 준공식에는 축사와 함께, 이벤트로 패션쇼가 진행되었는데요. 유명 패션 디자이너가 개최하는 패션쇼의 런웨이 못지 않았다는건 안비밀....!! 바이어라운지가 런웨이 공간으로도 참~ 괜찮을 것 같다는 생각을 했습니다. ^^;; 이번 바이어라운지 개장은 끝이 아니라 시작입니다. 현재 판촉행사, 고객동선 개선에 따른 방문객 수의 변화데이터를 수집하고 분석하는 피플카운팅 시스템을 통해 ddp 패션몰을 활성화 하는 중이며, 올 연말~ 내년 초쯤에는 중국의 위챗페이 결제시스템을 도입하여 결제수단을 다양화 할 계획입니다. 또한 오는 11월경에는 온라인 도매 쇼핑몰도 개장하게 됩니다. 변화하는 외부 환경에 따라 지속적으로 혁신하는 ddp 패션몰! 동대문 도매시장과 중구, 서울시설공단의 협력과 소통, 신뢰를 바탕으로 세계적인 패션몰로 거듭날 그 날을 그려봅니다.","2018-10-30","B021","행사","문서","C003","http://www.sisul.or.kr/open_content/publicity/bbs/bbsMsgDetail.do?msg_seq=439&bcd=community&pgno=1","http://www.sisul.or.kr/open_content/com/common/upfiles.do?program=editor&type=image&filenm=20181004_ddpmol_jeongyeongimiji0003(1).jpg","Y","629","#공공,#민간,#정보,#인프라,#공유,#가치","4","서울 이야기 > 서울 사람"
"92653","G:HA[지:하] 10호 - 마음과 마음을 잇는 소중한 인연","G:HA잡지 10호 G:HA[지:하] 10호 - 마음과 마음을 잇는 소중한 인연","2018-10-29","B021","행사","문서","C003","http://www.sisul.or.kr/open_content/publicity/bbs/bbsMsgDetail.do?msg_seq=111&bcd=library&pgno=1","http://www.sisul.or.kr/open_content/publicity/bbs/bbsMsgFile.do?bcd=library&msg_seq=111&fileno=1&size=middle","Y","653","#매거진,#커버스토리,#같이,#발견,#잠시,#쉬다,#만남,#열정,#소식,#문화","4","서울 이야기 > 서울 도서관"
"92655","훈련은 실전처럼! 홍지문터널 화재대비 합동훈련 현장을 가다!","수십명, 수백명의 목숨을 빼앗아 갈 수 있는 화마(火魔) 특히 캄캄하고 좌우가 가로막힌 터널 안이라면 그 위험성은 수십배로 커지게 되는데요, 10월 23일 10시. 서울에서 가장 긴 터널, 홍지문터널에서 화재발생을 가정한 실제 훈련이 진행되었습니다! *홍지문터널의 길이는 1,890m로 서울시에서 관리하는 터널 중 가장 긴 터널입니다. 각 기관과 유기적인 협력을 통해 실전대응 능력을 향상시키고 언제든 발생 할 수 있는 안전사고를 수습하는 역량을 향상시킬 수 있는 이번 훈련에는 서울시와 공단, 해당 관할 소방서, 경찰서, 도시고속도로순찰대 등 7개 기관이 참여했고, 차량 15대가 훈련에 동원되었습니다. 실전과 같은 긴박한 상황! 오전 10시 10분 경 홍지문터널 마장방향 1차로에서 과속하던 화물차량이 승용차와 추돌한 화재사고를 가정, 신고접수부터 화재진압, 시민대피 훈련까지 실제 상황과 같이 진행되었습니다. 특히 밀폐된 공간인 터널에서는 화재 발생시 초기진압이 생명! 이번 훈련에선 황금시간인 10분 이내 화재를 초기진화하고, 시민들을 외부로 신속하게 대피시키는 훈련을 중심으로, 도심 터널의 경우 교통량이 많아 화재 발생시에 소방차의 진입이 어려울 수 있기 때문에, 터널 반대쪽에서도 출동하여 화재를 진압하는 훈련도 진행되었습니다. 특히 이번 훈련은 실전과 동일하게 설계되었기 때문에, 운전자가 라디오의 어느 채널을 듣고 있더라도, 자동으로 재난방송을 청취할 수 있었고, 터널 내 스피커를 통해서도 재난 안내를 받을 수 있었습니다. 이러한 합동훈련은 홍지문터널뿐 아니라, 서울에 있는 터널 총 40개소 중 길이 500m 이상 터널 17개소와 지하차도 3개소 등 총 20개소에서는 화재사고 시 초기대응 능력을 강화하기 위해 연 1회 실시하고 있습니다. 안전을 누리고 서울을 즐기다! 합동훈련으로 인해 차로가 통제되면 교통에 불편함이 생기지만, 실전과 같은 훈련으로 언제든지 발생할 수 있는 안전사고를 완벽 대처하기 위한 훈련이니, 너그러운 이해와 현장에서 고생하는 직원들에게 응원을 부탁드립니다!","2018-10-26","B021","행사","문서","C003","http://www.sisul.or.kr/open_content/publicity/bbs/bbsMsgDetail.do?msg_seq=437&bcd=community&pgno=1","http://www.sisul.or.kr/open_content/com/common/upfiles.do?program=editor&type=image&filenm=noname03(2).jpg","Y","655","#화마,#터널,#홍지문터널,#화재","4","서울 이야기 > 서울 사람"
"92660","일상 속 청렴 SSUL(썰)을 들려주세요~! 2018 서울시설공단 청렴콘텐츠 공모전!","청탁금지법이 제정된 지 어언 3년! 그동안 청탁금지법은 알게 모르게 우리의 일상을 많이 바꿔놓았는데요. 청탁금지법의 정식명칭은 부정청탁 및 금품 등 수수의 금지에 관한 법률로, 우리에겐 김영란법으로 더 잘 알려져있죠. 김영란법이 시행된 이후로 우리는 기존에 당연시 되어왔던 관행들에 대해 다시 한 번 생각해보고, 청렴에 대해서 그 어느때보다 깊은 성찰을 해보는 시간을 가지게 되었는데요. 청렴 단순히 청탁금지법이라는 법률로서의 테두리를 넘어서서 깨끗하고 공정한 세상을 위한 우리의 마지막 양심이자 지켜내야할 가치일 것입니다 그래서 서울시설공단이 준비한 <2018 서울시설공단 청렴콘텐츠 공모전> 알게모르게 우리의 생활 깊숙히 자리잡은 청렴의 가치! 이와 관련된 일상 속 다양한 SSUL들(경험에 의한 사실이든, 이거실화냐?싶은 픽션·허구도 오케이~)을 풀어주세요! 예시) 축구공이 후반전에 쉬게 해달라며 밥사겠다 했지만 칼같이 더치페이 한 사연 호랑이가 금연구역에서 담배피고 봐달라 했지만 거절한 이야기 ㅇ주제 : 청탁금지법 시행 이후 달라진 삶의 이야기 ㅇ모집기간 : ~ 8.3(금) 청렴에 관한 여러분의 재치있고 통통튀는 아이디어들을 기다립니다~~ 많은 참여 부탁드려요! *자세한 내용은 https://goo.gl/HYbfnx 에서 확인하세요.","2018-07-24","B021","행사","문서","C003","http://www.sisul.or.kr/open_content/publicity/bbs/bbsMsgDetail.do?msg_seq=419&bcd=community&pgno=1","http://www.sisul.or.kr/open_content/com/common/upfiles.do?program=editor&type=image&filenm=gonggieop_gongmojeon_seoulsiseolgongdan.png","Y","660","#청탁금지법,#부정청탁,#금품,#수수,#금지,#김영란법","4","서울 이야기 > 서울 사람"
"92661","즐거움에 안전 더하기! 공공자전거 &prime;따릉이&prime; 여의도지역 안전모 무료대여 실시 소식!","서울시의 대표 교통수단으로 자리잡은 따릉이! 서울시 공공자전거 따릉이를 운영하고 있는 서울시설공단은 오는 9월 28일부터 시행될 자전거 헬멧 착용 의무화를 앞두고, 헬멧 무료 대여 서비스를 시행하게 되었는데요. 오는 20일부터 출·퇴근 시간에 따릉이 이용률이 높은 여의도에서 헬멧 무료 대여를 시범운행하기로 하였습니다! 일단 한 달간 여의도에서만 시범 운영을 실시할 예정이지만, 추후 이용률, 분실 및 파손율, 만족도, 안정성 등을 고려하여 더 많은 지역에서도 안전하게 따릉이를 즐길 수 있도록 사업에 대해 다양하게 검토할 예정입니다. 헬멧과 함께 더~욱 안전해질 서울시민의 발, 따릉이! 앞으로도 시민들에게 더욱 사랑받는, 안전한 따릉따릉 따릉이♬를 위해 노력하겠습니다! ","2018-07-24","B021","행사","문서","C003","http://www.sisul.or.kr/open_content/publicity/bbs/bbsMsgDetail.do?msg_seq=420&bcd=community&pgno=1","http://www.sisul.or.kr/open_content/com/common/upfiles.do?program=editor&type=image&filenm=ttareungi_anjeonmo_muryodaeyeo_seoulsiseolgongdan.jpg","Y","661","#헬멧,#여의도,#이용률,#분실,#파손율,#만족도,#안정성","4","서울 이야기 > 서울 사람"
"92662","아이와 어른 모두가 즐길 수 있는 서울어린이대공원의 Hot place는 어디일까~?","2018년, 오늘 날의 서울어린이대공원은 어떤 모습일까? 어린이뿐만 아니라 어른들 모두가 놀고 즐기고 힐링할 수 있는 곳. 꽃길, 숲길, 동물원, 놀이동산, 분수대, 먹거리 등 1년 365일 내내 즐거움을 만끽하고 도심 속 여유를 즐길 수 있는 서울시내 #핫플레이스! 인스타Zone에서 인생사진 건지는 건 보너스~ 쉬고 싶은 주말, 그렇다고 집에만 있기에는 어딘가 아쉽다면 광진구 서울어린이대공원으로 기분 좋은 나들이를 떠나는 건 어떨까요~? 지금 바로! 영상으로 만나보세요!!!","2018-07-24","B021","행사","문서","C003","http://www.sisul.or.kr/open_content/publicity/bbs/bbsMsgDetail.do?msg_seq=422&bcd=community&pgno=1","http://www.sisul.or.kr/open_content/com/common/upfiles.do?program=editor&type=image&filenm=eorinidaegongwon(5).jpg","Y","662","#꽃길,#숲길,#동물원,#놀이동산,#분수대,#먹거리","4","서울 이야기 > 서울 사람"
"92663","사진으로 세대간 소통의 장을 마련하다! 을지로 아뜨리애 갤러리 &prime;그때 그대&prime; 展","폭염이 맹위를 떨치는 7월! 장마가 일찍 끝나면서 고온다습한 날씨가 연일 계속되고 있는데요. 햇빛을 피해 지하도상가의 예술작품을 구경하러 가는 건 어떨까요? 아니 잠깐! 예술작품을...지하도 상가에서 구경하라...고요...?? 을지로 지하도상가에는 아뜨리애 갤러리가 있다는 사실! 을지로 아뜨리애 갤러리는 지하철 2호선 을지로4가역과 동대문역사문화공원 역 사이에 시민들이 공공예술작품을 쉽게 만날 수 있도록 2014년에 조성되었습니다. 그동안 사랑하고 꿈꾸며 展, 서울월드컵경기장 특집 展 등 다양~한 주제의 전시회가 열렸던 을지로 아뜨리애 갤러리! 이번 7월 23일부터 9월 7일까지! 세대 간 소통의 장을 주제로 한 그때, 그대 展이 열리는데요~ 신진작가 이상훈, 최승원 작가와 대학생 자원봉사단의 콜라보! 9쌍의 가족을 모델로 섭외하여 공통 관심사가 담긴 소재를 가족별로 선정해 서로의 물건을 들고 찍은 47점의 사진을 전시하였습니다. 음악감상을 좋아하는 부녀의 사진을 한번 볼까요? 아버지는 딸의 고3 수험생활을 견디게 해준 MP3 플레이어를 착용하고, 딸은 아버지의 청춘시절 추억이 담긴 LP판을 들고 사진을 찍었습니다. 이를 통해 각자 추억이 담긴 물건을 서로 바꿔 경험해보며 소통하는 것이죠! 그 외에도~ <그대의 귀걸이> 작품설명: 어머니가 20대 때 대학로에서 구매한 귀걸이와 딸이 즐겨 착용하는 귀걸이. 그들은 서로의 귀걸이를 바꿔 착용해보며 그 안에 담긴 생각과 사연을 이야기 합니다. <그대의 옷> 작품설명: 어머니가 결혼할 때 입은 치마와 딸이 스무살 때 산 원피스. 결혼, 여행 등 그들만의 사연이 담긴 두 옷을 모녀가 바꿔 입어보며 추억과 삶을 나눕니다. 등등 세대 간 소통을 담은 40여개의 작품이 전시되어있습니다! 옛 추억을 공유하고, 사진촬영을 통해 새로운 추억을 저장하는 시간. 세대 간 갈등이라는 사회적 이슈를 예술을 통해 풀어보고자 하는 취지로 기획된 그때, 그대 展! 잠깐만 밖을 나가도 땀이 줄~줄 흐르는 요즘! 이번 기회에 을지로 지하상가에 오셔서 땀도 식히고, 더위도 피하고, 쇼핑도 즐기고~ 을지로 아뜨리애에 준비된 그때, 그대 展도 감상하시면서 서로의 추억을 공유하고 소통할 수 있는 시간 가지셨으면 좋겠습니다!","2018-07-25","B021","행사","문서","C003","http://www.sisul.or.kr/open_content/publicity/bbs/bbsMsgDetail.do?msg_seq=423&bcd=community&pgno=1","http://www.sisul.or.kr/open_content/com/common/upfiles.do?program=editor&type=image&filenm=20151013_euljiroatteuriae_0008.jpg","Y","663","#지하도상가,#MP3플레이어,#LP판,#귀걸이,#원피스,#추억","4","서울 이야기 > 서울 사람"
"92674","IoT 기술로 더 똑똑하고, 더 편리해진 서울시 명동 소공지하도상가!","서울시내 25개 지하도상가를 관리·운영하고 있는 서울시설공단! 그 중 서울의 중심에 위치하여 유동인구가 많은 소공지하도상가는, 작년 서울시 사물인터넷 실증지역으로 선정되어 올해 다양한 스타트업과 협업을 진행하였는데요. 그 결과 어떻게 바뀌었는지, 카드뉴스로 알아볼까요? 1. 서울의 중심, 명동 소공지하도상가 서울시청과 명동을 잇는 서울 중구 소공지하도상가! 서울시민과 관광객들이 많은 지하도상가인만큼 안전한 환경과 정보안내가 무엇보다 중요한데요. 소공지하도상가는 지난해 서울시 사물인터넷 실증지역으로 선정되어, 이후 국내 다양한 스타트업들과 협업을 통해 IoT(사물인터넷)서비스 기술을 지하도상가 내에 구축하였습니다. 2. 키오스크 개념의 종합정보안내시스템 복잡한 지하도상가의 상점 위치, 출입구 방향과 주변의 주요 시설 등을 4개 언어로 간편하게 검색할 수 있는 키오스크 개념의 종합정보안내시스템을 지하도상가 내 3곳에 설치하여 서울시민뿐만 아니라 해외 관광객을의 이용편의를 증진시킬 수 있게 되었습니다. 3. 지하의 탁한 공기 빨아들이는 스마트팜 또한, 지하의 탁한 공기는 빨아들이고 정화된 공기를 다시 내뿜는 온실형 식물재배기 스마트팜을 지하도상가 내 5곳에 조성하였는데요. 앱을 통해 온도, 습도, 물주기 등 최적의 환경을 설정하고식물 성장환경을 점검할 수 있다고 합니다. 인공지능 식물재배기 전문기업 리비노와 협업하여 개발하였습니다. 4. 범죄예방을 위한 안전시스템 설치 여자화장실 3곳 내부에는 긴급상황 시 방재실 직원과 전화가 연결되는 비상통화장치가 칸마다 설치되었습니다. 또한 출입구에는 일정 데시벨 이상의 소리가 감지되면 방재실 직원과 즉시 통화할 수 있고 사이렌이 돌아가는 이상음원 자동울림장치 역시 설치되었는데요. 사물인터넷 솔루션 전문기업 디앤샤인과 협업하여 개발하였습니다. 5. 긴급대피유도시스템 구축 또한 화재 발생 시 연기를 감지해 방재실에 전달하고, 방재실은 시민에게 대피안내 방송을 하는 시스템을 구축하였는데요. 상가 출입구, 연결통로 등 20곳에는 어둠 속에서도 출구 방향을 쉽게 알 수 있도록 화살표 방향 표시등을 설치하고 비상 알람 작동을 강화하였습니다. 강남고속터미널지하도상가에 안전환경을 조성한 데 이어 소공지하도상가에도 다양한 스타트업들과 협업을 통해 한층 더 똑똑하고 안전한 지하도상가를 거듭나게 되었는데요. 앞으로도 서울의 더 많은 지하도상가를 시민분들이 안전하고, 간편하게 이용할 수 있도록 아낌없는 지원활동 이어나가겠습니다!","2019-02-27","B021","행사","문서","C003","http://www.sisul.or.kr/open_content/publicity/bbs/bbsMsgDetail.do?msg_seq=457&bcd=community&pgno=1","http://www.sisul.or.kr/open_content/com/common/upfiles.do?program=editor&type=image&filenm=myeongdong_jihadosangga_iot_samulinteoned_(2).jpg","Y","674","#사물인터넷,#스타트업,#종합정보안내시스템,#스마트팜,#이상음원,#자동울림장치,#긴급대피유도시스템","4","서울 이야기 > 서울 사람"
"92632","[2018 신입채용] 서울시설공단 채용 TIP! 다~ 알려주마!","2018년 서울시설공단 일반직 공채가 시작되었습니다! 취뽀를 위해 누구보다 열심히 달려온 여러분을 위해 서시공이 준비한 ☆채용 꿀팁 3종 세트!★ 지금 바로 소개합니다 1. [공단소개영상] 들어봤니? 서울시설공단 서울..시설공단?? 들어는 봤는데... 어떤 곳인지는 잘 모른다? 그런 분들을 위해 담당자가 날밤까고 만든 삐급 갬성 공단 소개 영상! (제발 봐줘여) 2. [입사TIP영상] 1년차 선배가 알려주는 입사 TIP 2017년 입사 선배들이 곧 들어올 후배들을 위해 준비했다! 필기, 면접 준비방법부터 취뽀 성공을 위한 꿀팁까지!! 이제 당당하게 ☆신입사원★이 되고 싶은 모든 분들, 안 보면 후회할걸요?! 3. [직무소개] 10개 직무 한 눈에 보기! 사무, 전산, 토목, 조경, ... 하는 일만큼 직무도 다양한 서울시설공단의 직무를 한 눈에 살펴보자! NCS 직무기술서 읽기 전, 꼭 한번 읽어볼 것! 어떤가요? 도움이 되셨나요? 서류, 필기, 면접 등 모든 험난한 관문을 뚫고 2018 사번으로 만날 118명의 여러분들을 기다리며, 모든 분들에게 좋은 결과가 있길 서울시설공단이 응원합니다!","2018-09-21","B021","행사","문서","C003","http://www.sisul.or.kr/open_content/publicity/bbs/bbsMsgDetail.do?msg_seq=434&bcd=community&pgno=1","http://www.sisul.or.kr/open_content/com/common/upfiles.do?program=editor&type=image&filenm=chaeyongtibsseamnel.png","Y","632","#공채,#꿀팁,#면접","4","서울 이야기 > 서울 사람"
"92633","지역 이웃과 함께한 뜻깊은 시간, 공단 창립 35주년 행사 스케치","생일: 1983년 9월 1일생 나이: 35 어느덧 서른다섯, 어엿한 시민의 공기업으로 성장한 서울시설공단! 서울시설공단의 서른다섯 생일파티가 열렸습니다! 먼저, 서울시설공단의 자랑! 서울시설공단 볼링팀의 메달 수여식이 있었는데요, 2018 자카르타-팔렘방 아시안게임에서 6인조 볼링 금메달을 차지한 백승자, 이연지 선수! 이연지 선수는 마스터즈 경기에서 은메달도 획득하였습니다. 쾌거를 이룬 자랑스런 공단 선수들! 앞으로도 멋진 경기 부탁드립니다!! :) 그리고, 6월 22일부터 7월 31일까지 진행된 서울시설공단 서비스경험·아이디어 공모전 시상식이 열렸는데요~ 사업에 대한 톡톡튀는 아이디어를 제공한 아이디어 부문과 공단이 제공하는 서비스 이용 후, 수기형식으로 담아낸 경험부문 수상작으로 나누어 진행되었습니다. 특히, 서비스 이용 경험부문 최종 수상작인 Divercity: 다양한 시설, 다채로운 삶을 지향하는 도시 작품은 시민의 입장에서 공단이 제공하고 있는 사업을 함축적이고 감각있게 영상으로 담아내어 큰 감동을 선사하였습니다! 뒤이어 시민들을 위해 공헌한 직원들을 표창하는 자리가 마련되었고, 창립기념 노사합동 사회공헌 활동 경과를 공유하는 시간과, 이사장 축사, 노조 위원장 축사가 진행되었습니다. 이 모든 행사를 마치는데 걸렸던 시간은 단 40분! 어....?? 왜 이렇게 생일파티가 짧고, 간소하게 끝났냐구요? 바로 이번 창립기념 행사는 시민 곁으로 찾아가는 색다른 생일파티기 때문이죠~! 지역사회 어려움 해결에 적극적으로 참여하는 서울시설공단! 창립 기념 행사를 간소하게 마치고 부랴부랴 공릉사회복지관으로 이동하여 공릉사회복지관에 도시락 가방을 기증하고 도시락 배달 봉사를 실시하였습니다. 특히 공단은 올해 8~9월을 Volunteer week로 지정하고, 다양한 봉사활동을 기획하였는데요, 폭염 속 취약계층의 건강한 여름나기를 위해 선풍기를 기초 지자체에 지원하는 한편, 장애아동에 대한 나들이 지원, 볼링팀의 스포츠 재능기부, 한끼나눔 행사, 의류기증 행사 등 전사적 사회공헌 활동을 추진 중입니다! 간소해서 더욱 아름다웠던 서울시설공단의 35주년 창립기념행사! 성대한 행사보다는 공단이 가진 본연의 가치인 시민서비스 확장과 시민신뢰 확보에 알맞은, 뜻깊은 시간이 아니었을까 합니다! 시민을 위해, 그리고 시민과 함께! 단순 시설관리를 넘어 사회적 가치창출을 목표로 하는 서울시설공단의 사회공헌활동은 계속됩니다~~!!","2018-08-31","B021","행사","문서","C003","http://www.sisul.or.kr/open_content/publicity/bbs/bbsMsgDetail.do?msg_seq=432&bcd=community&pgno=1","http://www.sisul.or.kr/open_content/com/common/upfiles.do?program=editor&type=image&filenm=20180831_saranguidosirakjeondalsik_bongsahwaldong_0003.jpg","Y","633","#서른다섯,#생일파티,#볼링팀,#공릉사회복지관,#도시락,#봉사활동","4","서울 이야기 > 서울 사람"
