사업명,서비스,기준년월,지급건수,지급금액
기초생활,생계급여(일반),2023-01,1150694,564450
기초생활,생계급여(일반),2023-02,1154807,557943
기초생활,생계급여(일반),2023-03,1162447,560486
기초생활,생계급여(일반),2023-04,1168853,561930
기초생활,생계급여(일반),2023-05,1169083,563340
기초생활,생계급여(일반),2023-06,1175155,561838
기초생활,생계급여(일반),2023-07,1179152,562043
기초생활,생계급여(일반),2023-08,1185420,564371
기초생활,생계급여(일반),2023-09,1189317,564326
기초생활,생계급여(일반),2023-10,1193255,563835
기초생활,생계급여(일반),2023-11,1188202,563029
기초생활,생계급여(일반),2023-12,1193654,565843
기초생활,주거급여,2023-01,2242279,222560
기초생활,주거급여,2023-02,2258818,223558
기초생활,주거급여,2023-03,2276497,225942
기초생활,주거급여,2023-04,2289190,228109
기초생활,주거급여,2023-05,2305566,230948
기초생활,주거급여,2023-06,2321686,231492
기초생활,주거급여,2023-07,2327142,231004
기초생활,주거급여,2023-08,2343100,233327
기초생활,주거급여,2023-09,2350138,233023
기초생활,주거급여,2023-10,2360491,233322
기초생활,주거급여,2023-11,2366751,235300
기초생활,주거급여,2023-12,2384574,237019
기초생활,생계급여(시설),2023-01,85000,29002
기초생활,생계급여(시설),2023-02,86856,25138
기초생활,생계급여(시설),2023-03,87066,24932
기초생활,생계급여(시설),2023-04,87396,25023
기초생활,생계급여(시설),2023-05,87707,25135
기초생활,생계급여(시설),2023-06,88585,25450
기초생활,생계급여(시설),2023-07,88376,25290
기초생활,생계급여(시설),2023-08,88876,29913
기초생활,생계급여(시설),2023-09,89526,25686
기초생활,생계급여(시설),2023-10,89525,29120
기초생활,생계급여(시설),2023-11,90029,25770
기초생활,생계급여(시설),2023-12,90115,25765
기초생활,사할린한인(특별지원금),2023-01,1075,123
기초생활,사할린한인(특별지원금),2023-02,1056,121
기초생활,사할린한인(특별지원금),2023-03,1091,125
기초생활,사할린한인(특별지원금),2023-04,1122,127
기초생활,사할린한인(특별지원금),2023-05,1170,138
기초생활,사할린한인(특별지원금),2023-06,1225,145
기초생활,사할린한인(특별지원금),2023-07,1277,149
기초생활,사할린한인(특별지원금),2023-08,1297,151
기초생활,사할린한인(특별지원금),2023-09,1325,155
기초생활,사할린한인(특별지원금),2023-10,1356,156
기초생활,사할린한인(특별지원금),2023-11,1367,159
기초생활,사할린한인(특별지원금),2023-12,1405,163
기초생활,해산급여,2023-01,164,117
기초생활,해산급여,2023-02,171,121
기초생활,해산급여,2023-03,208,148
기초생활,해산급여,2023-04,194,137
기초생활,해산급여,2023-05,158,113
기초생활,해산급여,2023-06,181,127
기초생활,해산급여,2023-07,146,103
기초생활,해산급여,2023-08,164,118
기초생활,해산급여,2023-09,172,122
기초생활,해산급여,2023-10,184,130
기초생활,해산급여,2023-11,195,138
기초생활,해산급여,2023-12,150,106
기초생활,장제급여,2023-01,6252,4995
기초생활,장제급여,2023-02,5603,4476
기초생활,장제급여,2023-03,5820,4654
기초생활,장제급여,2023-04,4929,3937
기초생활,장제급여,2023-05,5354,4281
기초생활,장제급여,2023-06,5574,4456
기초생활,장제급여,2023-07,4847,3874
기초생활,장제급여,2023-08,5869,4688
기초생활,장제급여,2023-09,5337,4266
기초생활,장제급여,2023-10,5922,4733
기초생활,장제급여,2023-11,5825,4656
기초생활,장제급여,2023-12,5556,4439
기초생활,생계급여(긴급),2023-01,19,6
기초생활,생계급여(긴급),2023-02,16,7
기초생활,생계급여(긴급),2023-03,27,12
기초생활,생계급여(긴급),2023-04,37,15
기초생활,생계급여(긴급),2023-05,22,9
기초생활,생계급여(긴급),2023-06,18,6
기초생활,생계급여(긴급),2023-07,28,12
기초생활,생계급여(긴급),2023-08,16,5
기초생활,생계급여(긴급),2023-09,18,8
기초생활,생계급여(긴급),2023-10,16,5
기초생활,생계급여(긴급),2023-11,18,7
기초생활,생계급여(긴급),2023-12,25,10
장애인복지,장애인연금,2023-01,360587,104787
장애인복지,장애인연금,2023-02,359337,104568
장애인복지,장애인연금,2023-03,358764,104635
장애인복지,장애인연금,2023-04,358899,104834
장애인복지,장애인연금,2023-05,357217,104671
장애인복지,장애인연금,2023-06,357335,104643
장애인복지,장애인연금,2023-07,357350,104463
장애인복지,장애인연금,2023-08,356927,104510
장애인복지,장애인연금,2023-09,356684,104521
장애인복지,장애인연금,2023-10,356186,104006
장애인복지,장애인연금,2023-11,354256,103998
장애인복지,장애인연금,2023-12,354245,104052
기초연금,기초연금,2023-01,6212004,1804149
기초연금,기초연금,2023-02,6234952,1811743
기초연금,기초연금,2023-03,6273442,1824994
기초연금,기초연금,2023-04,6319222,1832744
기초연금,기초연금,2023-05,6330866,1830993
기초연금,기초연금,2023-06,6345905,1828009
기초연금,기초연금,2023-07,6371335,1835019
기초연금,기초연금,2023-08,6393112,1840354
기초연금,기초연금,2023-09,6413386,1841916
기초연금,기초연금,2023-10,6431936,1844738
기초연금,기초연금,2023-11,6435848,1850124
기초연금,기초연금,2023-12,6461297,1855385
