(대출기간: 2024.08.01. ~ 2025.07.30.),,,,,,,
순위,등록번호,서명,저자,발행자,청구기호,대출횟수,
1.0,QC0000042963,(흔한남매의) 흔한 호기심 : 일상에서 만나는 과학 상식. 6,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,아만408-흔92ㅎ-6,37.0,
2.0,QC0000041472,그리스 로마 신화:만화로 읽는 초등 인문학,박시연 글;최우빈 그림,아울북:북이십일,아만219-박58ㄱ-30,36.0,
3.0,QC0000034062,흔한남매. 6,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만657.1-흔92ㅎ-6,35.0,
4.0,QC0000044014,(자연 생물 관찰 만화) 에그박사. 9,에그박사 원작 ; 박송이 글 ; 홍종현 그림,아이세움,아만 472-에17ㅇ-9=2,35.0,
5.0,QC0000035944,쿠키런 탈출 게임 과학 상식,임우영 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-23-2,35.0,
6.0,QC0000032594,"브레드 이발소. 2, 귀염뽀짝 베이커리타운",몬스터 스튜디오 원작·글·그림,한솔수북,아813.8-몬57ㅂ-2,34.0,
7.0,QC0000047484,"뼈뼈 사우루스. 3, 위기 탈출, 빙글빙글 정글을 구해라!",암모나이트 글·그림 ; 김정화 옮김,아이세움,아657.1-암35ㅃ-3,34.0,
8.0,QC0000047042,(코믹 메이플스토리)수학도둑 : 응용편. 98,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-98,34.0,
9.0,QC0000045822,건전지 엄마,"강인숙, 전승배 [공]지음",창비,유 813.8-강68ㄱ-2,34.0,
10.0,QC0000040038,"쿠키런 어드벤처 : 쿠키들의 신통방통 지리 여행. 50, 불가사의 세계 유적",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-50,34.0,
11.0,QC0000036142,"(손오공의 한자 대탐험) 마법천자문. 47, 잠드는 시간! 밤 야(夜)",김현수 글 ; 홍거북 그림,아울북,아만711.47-마44ㅇ-47-2,34.0,
12.0,QC0000036092,"(신비아파트) 한자 귀신. 14, 차원의 미아",김강현 글 ; 김기수 그림,서울문화사,아만711.4-김12ㅎ-14,34.0,
13.0,QC0000035990,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 34, 최강자의 대결 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-34,34.0,
14.0,QC0000035989,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 33, 위험한 탈출 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-33,34.0,
15.0,QC0000035898,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 24, 피렌체 - 이탈리아",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-24-2,34.0,
16.0,QC0000031958,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 6, 대한민국 1","백종원, 남지은 [공]글 ; 이정태 그림",위즈덤하우스,아만594-백75ㄷ-6,33.0,
17.0,QC0000047469,호박 목욕탕,시바타 케이코 글·그림 ; 황진희 옮김,위즈덤하우스,유 808.9-스875ㅅ-70-4,33.0,
18.0,QC0000046592,식량 위기에서 살아남기,곰돌이 co. 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-74,33.0,
19.0,QC0000046303,(코믹 메이플스토리) 수학도둑 : 응용편. 100,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-100-2,33.0,
20.0,QC0000045883,나는 정말 어디에 있는 걸까,요시타케 신스케 글·그림 ; 권남희 옮김,주니어김영사,아 833.8-요58ㄴ-2,33.0,
21.0,QC0000045331,흔한남매. 14,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만657.1-흔92ㅎ-14,33.0,
22.0,QC0000044192,지하철 사고에서 살아남기. 1,곰돌이 co. 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-69,33.0,
23.0,QC0000043790,"비밀요원 레너드. 14, 달에 사는 토끼가 사라졌다!",박설연 글 ; 김덕영 그림,아울북,아813.8-박54ㅂ-14,33.0,
24.0,QC0000040852,흔한남매. 11,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만657.1-흔92ㅎ-11,33.0,
25.0,QC0000036078,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 24, 헤라클레스의 마지막 원정",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-24,33.0,
26.0,QC0000035978,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 22, 신들의 도시 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-22-2,33.0,
27.0,QC0000035955,쿠키런 수상한 모험 과학 상식,임우영 글 ; 유희석 그림,서울문화사,아만404-쿠878ㅅ-34,33.0,
28.0,QC0000035913,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 39, 제주도 - 대한민국",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-39-2,33.0,
29.0,QC0000034965,(흔한남매) 별난 방탈출. 2,흔한남매 원작 ; 김언정 글 ; 차차 그림,아이세움,아만 691-흔92ㅂ-2,33.0,
30.0,QC0000032310,고층 건물에서 살아남기. 1,팝콘스토리 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-67,33.0,
31.0,QA0000111333,세계 방방곡곡 여행 일기,마스다 미리 지음 ; 이소담 옮김,북포레스트,836-마57ㅅ-3,32.0,
32.0,QC0000047538,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 2, 바다 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ2-2,32.0,
33.0,QC0000047467,"용기를 내, 비닐장갑! : 유설화 그림책",유설화 지음,책읽는곰,유 813.8-그298ㅊ-75-3,32.0,
34.0,QC0000047181,"(무한의 계단)세계여행 GO. 1, 이탈리아",김강현 글 ; 김기수 그림,서울문화사,아만980.24-김12ㅅ-1,32.0,
35.0,QC0000046721,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 38, 아테네와 스파르타, 두 태양의 대결",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-38,32.0,
36.0,QC0000046544,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 36, 문을 두드리는 불청객",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-36,32.0,
37.0,QC0000046475,"놓지 마 속담. 2, 동식물과 자연","신태훈, 나승훈 [공]글·그림",주니어김영사,아만388.6-신883ㄴ-2,32.0,
38.0,QC0000045947,건전지 아빠 : 전승배·강인숙 그림책,"전승배, 강인숙 [공]지음",창비,유 813.8-전57ㄱ-2,32.0,
39.0,QC0000045865,별이 빛나는 고양이 마을,고양이와 스프 원작 ; 히요 글 ; 루체 그림,다산어린이,아 813.8-고63ㅂ-2,32.0,
40.0,QC0000045710,(코믹 메이플스토리) 수학도둑 : 응용편. 94,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-94,32.0,
41.0,QC0000045267,"토깽이네 지구 구출 대작전. 6, 팬데믹의 비밀을 밝혀라!",토깽이네 원작 ; 잼스토리 글 ; 양선모 그림,위즈덤하우스,아539-토13ㅌ-6,32.0,
42.0,QC0000045057,"(곤충보다 작아진) 정브르, 생물 학습 만화. 4",정브르 원작 ; 강민희 글 ; 강신영 그림,겜툰,아495.2-정47ㅈ-4,32.0,
43.0,QC0000044209,"(최고다!) 과학 호기심 딱지. 2, 판다왕의 이상한 마트",방콕고양이 글 ; 윤현우 그림,EBS Books,아만408-과92아-2,32.0,
44.0,QC0000044199,"도그맨. 1, 도그맨, 핫도그의 침공",대브 필키 지음 ; 노은정 옮김,위즈덤하우스,아843-필878ㄷ2-1,32.0,
45.0,QC0000044194,터널에서 살아남기,박송이 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-73,32.0,
46.0,QC0000044193,지하철 사고에서 살아남기. 2,곰돌이 co. 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-70,32.0,
47.0,QC0000044131,"쿠키런 어드벤처 : 가짜 버블의 정체. 49, 지구의 위대한 탐험가",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-49-2,32.0,
48.0,QC0000043811,"곤충 탐정 정브르. 2, 장수풍뎅이 유령의 의뢰",정브르 원작 ; 한바리 글 ; 도니패밀리 그림,서울문화사,아495.2-정47가-2,32.0,
49.0,QC0000043794,"놓지 마 과학!. 18, 악마견의 숨겨진 진실","신태훈, 나승훈 [공]글·그림",위즈덤하우스,아만400-신883ㄴ-18,32.0,
50.0,QC0000043124,수해에서 살아남기,박송이 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-76,32.0,
51.0,QC0000042170,오늘의 영상툰 : 두근두근 알쏭달쏭 심쿵 비밀 이야기. 2,오늘의 영상툰 원작 ; 전영신 구성,서울문화사,아만813.8-오197ㅇ-2,32.0,
52.0,QC0000041834,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 35, 마지막 기회 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-35-2,32.0,
53.0,QC0000040745,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 43, 악몽의 서커스 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-43,32.0,
54.0,QC0000039790,(흔한남매의) 흔한 호기심 : 일상에서 만나는 과학 상식. 5,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,아만408-흔92ㅎ-5,32.0,
55.0,QC0000036090,"(신비아파트) 한자 귀신. 12, 영혼이 모이는 동굴",김강현 글 ; 김기수 그림,서울문화사,아만711.4-김12ㅎ-12,32.0,
56.0,QC0000035943,쿠키런 스포츠 과학 상식,임우영 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-22,32.0,
57.0,QC0000035852,"놓지 마 과학!. 15, 사라진 마이아사우라의 호박 장식을 찾아라","신태훈, 나승훈 [공]글·그림",위즈덤하우스,아만400-신883ㄴ-15,32.0,
58.0,QC0000033909,"브레드 이발소. 4, 위기의 베이커리타운",몬스터 스튜디오 원작·글·그림,한솔수북,아813.8-몬57ㅂ-4,32.0,
59.0,QC0000029269,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 4, 미국","백종원, 남지은 [공]지음 ; 이정태 그림",위즈덤하우스,아만594-백75ㄷ-4,32.0,
60.0,QC0000026773,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 1, 일본","백종원, 얌이 [공]글 ; 이정태 그림",위즈덤하우스,아만594-백75ㄷ-1,32.0,
61.0,QC0000013252,자연사 박물관에서 살아남기. 2,곰돌이 co. 글 ; 한현동 그림,아이세움(미래엔),아만408-서42ㅇ-32,32.0,
62.0,QC0000011667,식물 세계에서 살아남기 = Survival in plant world. 2,달콤팩토리 글 ; 한현동 그림,아이세움(미래엔),아만408-서42ㅇ-42,32.0,
