app,review,rating
카카오톡,토스서 뫼셔온 높으신 나리 옷태서 진동하는 느글니 기운,1
카카오톡,비공개,4
카카오톡,카톡없인 못살아~~~,5
카카오톡,친절 . 정직,5
카카오톡,수정할수있는기능도 있고 카톡최고입니다. 주식은 왜 안오르나요? 카카오 대주주입니다. 전국민이 쓰는 카톡인데 좋은소식있기를요,5
카카오톡,기존 천지인 자판이 좋습니다,1
카카오톡,잘 사용하지 않았던 부분들 새롭게 깨우치네요.,5
카카오톡,이용자와 소통없는 일방적 업데이트,1
카카오톡,이쁘고 좋은 문구 있으면 예약 해 놨다가 아들들에게 예약문자 보냅니다 너무 좋아요♡,5
카카오톡,이용자 보호조치,1
카카오톡,수정기능 좋아요,5
카카오톡,👍,4
카카오톡,좋아요 하나아쉬운것은 이전에 글을쓸때 띄어쓰기. 오타. 그기능이없어저서 아쉽습니다,5
카카오톡,편리합니다^^,5
카카오톡,매우 만족합니다,5
카카오톡,전화를 받으면 자꾸 스피커가 되네요.,2
카카오톡,보이스톡 수신시 스피커로 나오는데 어떤 설정을 해야 예전처럼 되나요?,4
카카오톡,저는 인스타 않하는데 이렇게된게 처음 엔별로였지만 지금은 괜찮아요?,5
카카오톡,매년 업그레이드 되어서 좋아요!!,5
카카오톡,업데이트 목록 끄기는 왜 없애놓은건데요 이런식으로 불만 귀닫고 광고수익 올리는게 장기적으로 좋을거라 생각함?,1
카카오톡,아... 카톡 요즘 너무 이상해....,3
카카오톡,편리하고 유용합니다. 👍,5
카카오톡,"좋아요,아주",5
카카오톡,굿이여!,5
카카오톡,편리하고 실용적이다.,5
카카오톡,업데이트 방향이 불편인듯,1
카카오톡,넘나 좋아요,5
카카오톡,뭐 어쩌라는건지 태블릿 설치해도 아이디 비번 입력해도 그냥 그대로 아무 진행이 안됨 최악,1
카카오톡,국어공부 다시하는 것이 정말 좋습니다.,5
카카오톡,요즘 광고도 카톡으로 많이 오는데 제발 문자처럼 읽음으로 처리 기능이 있었으면 좋겠다. 일일이 하나하나 눌러서 뱃지숫자 바꾸는거 힘들다. ㅠㅠ,2
카카오톡,카카오톡 최고입니다 대한민국 사람의 정서에 딱입니다 감사합니다,5
카카오톡,간단하면서도 운동이 돼요. 익숙해지면 시간을 2배 늘려서 해볼 생각이에요. 적극추천 합니다.,5
카카오톡,좋아요,5
카카오톡,감사합니다,5
카카오톡,유저들 의견좀 들어주셔요!,1
카카오톡,최고다,5
카카오톡,편리한 방식이 너무나좋습니다,5
카카오톡,너무유익 해서 많이 公有합니다. 81세 영어 먹통이 수며제로 미치도록 들었더니 6개월만에 귀가 뚫리고 여성리더의 음성과 내용도 有益해서 감사드립니다,5
카카오톡,잘 쓰고있늬데... 이상한 업데이트만 좀 안했으면 좋겠어요.,1
카카오톡,이용자 편의상이 부족함. 그냥 메신저 역할에 충실하면좋겟음,1
카카오톡,좋아요,5
카카오톡,게시물에 좋아요 누르는 거 댓글처럼 선택할 수 있게 수정 좀 바랍니다 자기 게시물에 좋아요가 부담스런 사람도 있어요 나만보기를 설정해두면 된다지만 말 그대로 나만볼 수 있을 뿐 게시물을 공개하고는 싶은데 좋아요는 받고싶지 않은 경우들이 많아요,1
카카오톡,생각과 다른문장과 오점을 빨리 수정할수 있음이 참 좋아요,5
카카오톡,이렇게 좋은 제 27탄을 빼고서 있다뉬,5
카카오톡,상대방 생일 on/off 기능 다시 넣어야함,1
카카오톡,좋아요 너무,5
카카오톡,상단 바 내려서 읽음 표시 누르면 좀 읽어라. 뭔 네트워크 연결 불량 이러고 있냐 이 앱이 불량이겠지:; 쓸데없는 기능 추가할 시간에 기본적인 거나 잘하세요,1
카카오톡,카카오톡은 업무용도가 크니 엔터요소를 빼고 차별화를 해주셨으면 좋겠습니다.,2
카카오톡,"""수정됨"" 이라는 문구가 없으면 좋겠다",1
카카오톡,최고입니다,5
카카오톡,넘 좋고 편리하네요. 이제까지는 다이어리에서 일정 관리하다 잊고 지나는 적이 있었는데 항상 열어보고 확인하는 카톡으로 일정 예약하니 잊지않고 지낼수 있어 편리합니다.,5
카카오톡,좋아요😄,4
카카오톡,업뎃에바,1
카카오톡,인스타처럼말고 옛날버전이 좋아요,3
카카오톡,실용적이고 유익합니다..,5
카카오톡,편안한소통의끝판왕이예요,4
카카오톡,업데이트 되고 엥스러워 진 부분이 많음... 카톡은 소통용 앱인데 왜 점점 인스타처럼 변하는건지 모르겠... 인스티화가 되...,2
카카오톡,쓰레기.. 안쓸수밖에 없는게 안타깝다...,1
카카오톡,"이상한 짓, 제발 그만하시오",1
카카오톡,구형기기 사용불가,1
카카오톡,어제부터 갑자기 카톡에 들어가면 키보드가 자동으로 영어로 바뀜 다른 어플은 전부 멀쩡한데 카톡만 뭐 이딴 버그가???,1
카카오톡,아니 왜 친구 목록으로 고정되지않고 자꾸 소식으로 넘어갑니까. 열자마자 보기싫은 얼굴 부터 크게 보면 카톡할 맛 나겠어요?친구목록으로 고정하고 첫화면도 다른 화면으로 바꿀 수 있도록 해주세요. 언제적부터 이슈화 된건데 아직까지 이럽니까,1
카카오톡,여성전용마사지,5
카카오톡,후레쉬,5
카카오톡,"Do you seriously think we use this app for your pathetic short-form videos? This is a messenger, not a TikTok clone. Your forced content is pathetic and intrusive. Get rid of it or give us a way to disable it, otherwise, this app is becoming garbage",1
카카오톡,불편해졌다. 갈수록 불편해,1
카카오톡,말도못함. 업데이트가 그냥 앱 망쳤다ㅋㅋㅋㅋㅋ,1
카카오톡,소식좀 안보이게 해라~~~~~ 제발 좀 !!!!,1
카카오톡,오픈채팅이랑 숏폼이랑 도대체 무슨 관련이 있나요? 오픈채팅 누르려다가 숏폼 자동재생 되서 짜증나서 꺼버렸는데 무슨 클릭유도하는 성인사이트 낚시도 아니고 숏폼없애거나 어디에 쳐박으세요,1
카카오톡,다른 앱 나오면 갈아탄다. 망해라.,1
카카오톡,릴스동영상좀삭제해주세요,3
카카오톡,쓰렉,1
카카오톡,자동업데이트 막아두고 쓰다가 이번에 안드로이드 8.5 업데이트 후 카톡 미리보기가 1개밖에 안되는게 ㅋㅋㅋ 얼탱이가없네 카톡을 업데이트해야 미리보기 여러개 볼수있다니 이게 무슨 열받는 소리야,1
카카오톡,왜 자꾸 버그있다고하는거죠? 버그 좀 고쳐줘요ㅡㅡ,1
카카오톡,좋아요,5
카카오톡,걍 친구목록이나 먼저 띄워주고 소식탭은 누르면 나오게 하거나 그래달라고요 들어갈때마다 프사 바꾼거랑 관심도 없는 소식을 몇번을 봐야하는건데 대체,1
카카오톡,배짱장사하는게 눈에 보여서 너무 짜증나고 싫음 이거말고 다른 메신저앱 꼭 나오면 좋겠음,1
카카오톡,최악이네,1
카카오톡,시스템 인터페이스를 설계할 경우 고려해야 할 가이드라인과 거리가 먼 것은? 1. 심미성을 사용성보다 우선하여 설계한다. 2. 효율성을 높이게 설계해야 한다. 3. 발생하는 오류를 쉽게 수정할 수 있어야한다. 4. 사용자에게 피드백을 제공해야 한다.,5
카카오톡,별 1개도 아깝다........,1
카카오톡,오픈채팅방 알림 off 해도 자꾸 noti 알림으로 뜨는데 이거 버그 수정해주세요 일반 채팅방은 각 채팅방 하위메뉴에서 알림 off 하면 노티에 안 꽃힙니다 짜증나네요 버그 수정하세요,1
카카오톡,왜 재설치 한다음 로그인이 왜 안됨??,1
카카오톡,"친구목록을 메인으로 삼는다 하는데도 자연스레 소식통, 자연스레 또 소식통..ㅋㅋㅋㅋ 유저랑 기싸움 열심히 하니까 재밌니 니네들? 추천친구도 왜 계속 떠 ㅋㅋ 이거 인스타로 생각한다는 게 너무 웃겨 ㅋㅋㅋ 애초에 이걸 회사원들도 같이 보는 사람들도 많은데 ㅋㅋㅋ 에휴 안쓰럽다 니네들",1
카카오톡,업데이트가 안좋네요.....,1
카카오톡,이메일 연락처 등록하려는데 이미 등록된 이메일이라면서 입구컷해놓고 정작 들어가보면 설정된 이메일이 없다고 헛짓거리함 로그인용 이메일은 등록이 안되는거임? 뭘 이딴 쓰레기같은 시스템으로 쳐만들어놓는거임? 사용자 편의성은 가장 후순위로 미뤄놓는 쓰레기앱이다,1
카카오톡,이모티콘을 주면 좋을 것 같아요,4
카카오톡,왜 업데이트며 새로운 시스템 사용$만 강요하지? 개인의견을 무시만하고,1
